temperature,activity_level,heart_rate,health_status
37.674440862667154,2.489074037123945,69,healthy
38.46567598968296,2.461770800422557,82,healthy
38.7382061573048,2.004177552648896,60,healthy
39.41060212995416,2.202054918507321,53,healthy
39.082572199165554,1.2160235477711738,40,unhealthy
38.59505559554994,2.620509451574613,80,healthy
38.10698472518818,1.2019702837982915,61,healthy
39.54854414375102,0.9602365248817843,65,healthy
38.414355226911525,1.422123258975739,42,healthy
39.30998774378698,2.0672943189904407,75,healthy
38.14918697299986,1.8238620642758827,83,healthy
38.30678719524406,2.2956738618907604,46,unhealthy
38.89211868712483,1.634147622852702,44,healthy
39.25049507915206,2.386110678006536,68,healthy
38.958766965952265,1.5994528136766415,74,healthy
38.324839849752365,2.224680188347925,40,healthy
38.53109179142525,2.450683388827932,63,healthy
37.4591086296404,2.148395389873148,62,unhealthy
38.14057278036662,1.5995303646598558,85,healthy
38.15637196669002,1.967547785549893,65,healthy
38.48329690124041,2.5952379700623003,66,healthy
38.88868199721262,2.8536875498705463,71,unhealthy
38.23303961255437,1.650181315965398,53,healthy
39.21925079368548,2.2468886132010657,53,healthy
37.80051698121918,1.46968554376213,89,unhealthy
38.16288491556791,1.2140856447305508,69,healthy
38.42499006250845,1.194220872044768,73,healthy
38.74227000643094,2.854336817375993,83,healthy
38.61277347592104,2.2908989939508966,53,healthy
39.05996641716521,3.06555469016394,50,healthy
38.01595923441386,1.3497164220748543,43,healthy
38.16508511875733,1.9708111665761707,60,unhealthy
38.09562475712672,1.800845692806018,65,healthy
38.90190124285105,2.0673857667512734,55,healthy
38.5866654143432,2.81142397969471,59,healthy
38.76564137609056,1.955682928998432,56,healthy
39.272038915420985,2.472206948903751,71,healthy
38.172421627286,1.872832025019376,82,unhealthy
38.67608104734436,2.555223472393304,83,healthy
38.82151750732616,1.4709948597768558,47,healthy
38.89882049601077,2.7585990512730514,53,healthy
38.67218855933076,1.897486385885796,67,healthy
39.4139783895856,2.358543449810215,75,healthy
38.51823150153221,1.4451126662843776,88,healthy
38.95430852227269,0.6952311668213864,76,healthy
38.04174339459177,1.228513934194769,67,unhealthy
39.40965825187409,0.7791445311381752,46,healthy
37.96581442282756,2.2728067792683784,83,unhealthy
38.76847874175719,1.106834612396658,61,healthy
37.77635006861363,2.174788783069161,46,healthy
38.68405781429203,2.702072850026582,73,healthy
37.70917730625426,1.83094360519634,49,healthy
39.73003448696608,2.570631484867169,52,healthy
37.322144527139805,2.2950237451485243,85,healthy
38.23336558789315,1.417048378771394,42,unhealthy
38.57551234196431,1.2536858101315231,47,healthy
38.30710821448724,2.4226489136179814,70,unhealthy
38.92972278418421,1.5992238650622403,46,healthy
38.82180850549209,1.3166141400073927,69,healthy
38.59333692655292,1.912892868326908,40,healthy
37.94298874515368,1.5931758276344643,66,unhealthy
37.8997097731286,2.62493319216341,76,healthy
38.823777811592194,2.829303088972834,41,unhealthy
38.72108599332974,2.493721775606203,72,healthy
37.85003398850642,1.877913270379657,83,healthy
39.391451527599415,3.0077424369675856,65,healthy
38.20577828126959,2.137866739566731,79,healthy
37.77380767321044,1.3562940052541823,64,unhealthy
38.16644897131197,1.825656293185992,77,unhealthy
39.12157035711806,2.122654518269996,81,healthy
37.45503472911459,2.0283141611616995,54,healthy
39.44456962575641,0.912390064089954,71,healthy
38.414025484034894,0.9124149646240725,66,healthy
38.3231094128117,1.5838019490992534,61,healthy
37.93923209812689,2.533043541707656,68,unhealthy
38.29038230282285,1.8084181519437448,76,healthy
38.44191529507928,2.0379770588299104,74,healthy
38.02656150262258,1.880989928758729,76,healthy
38.46193012798572,2.046922046104138,53,healthy
39.49492417184229,0.8930391435839786,40,healthy
38.34579140769548,2.795602321151054,54,healthy
39.04000681997327,2.5012432493882204,77,healthy
37.254922913912125,1.7598000139230985,83,healthy
38.74197641608907,1.5511474363593,50,healthy
39.31717976592861,1.23473392801055,48,unhealthy
38.80242958925058,2.628758164222777,80,healthy
38.97104138132288,1.3811649108950077,51,healthy
38.770414009373816,1.5500346005222303,52,healthy
39.432529222667085,2.179141320216916,89,healthy
39.32594889644578,0.9863241758101442,75,healthy
38.82325343396385,1.1354052467939173,76,healthy
38.84967583939682,2.796588101170131,57,healthy
38.52317173560746,1.7419925641402003,54,unhealthy
38.19981241021061,1.3340521126972795,76,healthy
38.07004317241472,2.1268796436906023,84,unhealthy
37.56245032198299,1.4406448291202218,55,unhealthy
38.47228317435457,1.675738489283481,47,healthy
38.36465378693729,2.3743987083340903,44,healthy
38.13330966132311,1.9988736021455664,46,unhealthy
37.8455040804984,1.669400462629851,86,healthy
38.320803504315,1.5404194402137334,86,healthy
38.39668656524875,2.408452295929203,40,healthy
38.53295352983252,1.624685133774415,44,healthy
38.423052072049984,1.7830601362692122,83,healthy
39.56953218673101,2.869847864151383,81,healthy
38.11183442532664,1.7696090050602509,65,healthy
38.65126516103966,0.9169827288944224,58,healthy
38.9006214848431,1.422215542247394,89,healthy
37.68638516353441,2.071189900054645,72,healthy
38.86510816862924,2.488119186434916,61,healthy
39.11946489353361,2.3649834630352697,59,healthy
38.73651155334986,2.3966684656655493,63,healthy
38.462330956409765,2.148740636065619,80,healthy
38.16175016244638,1.85492423250933,85,unhealthy
38.368862358098326,2.7771219850560835,54,healthy
38.98067540478985,1.7043471024358,84,unhealthy
39.40714697265598,2.0417755476086654,75,healthy
38.69699617849167,2.1474835061992463,73,healthy
38.513547293062345,1.514668638310675,68,healthy
37.96586291217827,1.517357353828956,82,unhealthy
37.44593188781731,1.763897658714339,66,healthy
38.44670550982526,2.308191805853004,57,healthy
38.72407434831989,1.0049459508992915,86,healthy
39.00525609117414,2.108996702026808,85,healthy
37.95872232558543,2.532750329829042,82,healthy
38.32721711570399,1.788852699367527,84,healthy
38.64326957400485,1.108745605782066,69,unhealthy
38.32392576465324,2.1102129705090507,53,unhealthy
37.07838975975985,2.32435516547726,53,healthy
